MACRO_GENSPECIES,FINAL_ID,MMS_TOLERANCE,MMS_TOLERANCE_NAME,MMS_NBI_PHOSPHORUS_TOL,MMS_NBI_NITRATE_TOL,MMS_FEEDING_HABITS,MMS_REFERENCE,MMS_PREV_NAME,MMS_INTEGR_TAXONOMIC_INFO_SYS,MMS_KINGDOM,MMS_SUBKINGDOM,MMS_INFRAKINGDOM,MMS_SUPERPHYLUM,MMS_PHYLUM,MMS_SUBPHYLUM,MMS_CLASS,MMS_SUBCLASS,MMS_INFRACLASS,MMS_SUPERORDER,MMS_ORDER,MMS_SUBORDER,MMS_INFRAORDER,MMS_SUPERFAMILY,MMS_FAMILY,MMS_SUBFAMILY,MMS_TRIBE,MMS_GENUS,MMS_SPECIES,MSTR_MACRO_SPECIES_ID,MMS_CLASSIFIER,MMS_COMMON_NAME,MMS_WATER_QLTY_EXCHANGE_NAME,MMS_WQX_UNIDENTIFD_SPECEIS_NAME
POLYPEDILUM SORDENS,POLYPEDILUM_SORDENS,6,facultative,,,shredder,69,,129712,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_sordens,,,,,
POLYPEDILUM SP.,POLYPEDILUM_SP.,6,facultative,,,shredder,69,,129657,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,,,,,,
POLYPEDILUM TRIGONUM,POLYPEDILUM_TRIGONUM,7,facultative,,,shredder,36,,129718,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_trigonum,,,,,
POLYPEDILUM TRITUM,POLYPEDILUM_TRITUM,7,facultative,,,shredder,69,,129719,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_tritum,,,,,
POLYPEDILUM TUBERCULUM,POLYPEDILUM_TUBERCULUM,6,facultative,,,shredder,69,,129657,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,polypedilum,polypedilum_tuberculum,,,,,
POMATIOPSIS LAPIDARIA,POMATIOPSIS_LAPIDARIA,8,tolerant,,,scraper,"51,22",,70737,animalia,bilateria,protostomia,lophozoa,mollusca,,gastropoda,prosobranchia,,,mesogastropoda,,,,pomatiopsidae,,,pomatiopsis,pomatiopsis_lapidaria,,,,,
POMATIOPSIS SP.,POMATIOPSIS_SP.,8,tolerant,,,scraper,"51,22",,70736,animalia,bilateria,protostomia,lophozoa,mollusca,,gastropoda,prosobranchia,,,mesogastropoda,,,,pomatiopsidae,,,pomatiopsis,,,,,,
POTAMOTHRIX MOLDAVIENSIS,POTAMOTHRIX_MOLDAVIENSIS,8,tolerant,,,gatherer,"18,83",,68789,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,tubificinae,,potamothrix,potamothrix_moldaviensis,,,,,
POTAMOTHRIX SP.,POTAMOTHRIX_SP.,8,tolerant,,,gatherer,18,,68786,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,tubificinae,,potamothrix,,,,,,
POTAMOTHRIX VEJDOVSKYI,POTAMOTHRIX_VEJDOVSKYI,8,tolerant,,,gatherer,18,,68790,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,tubificinae,,potamothrix,potamothrix_vejdovskyi,,,,,
